local-authority-code,public_sector_by_wpop,transport_by_wpop,pop_density,domestic_by_pop,industry_by_gdp,commerical_by_gdp,agriculture_by_gdp
RIC,0.00014648639121642648,0.0008711261107569864,3476.157894736842,0.0014470649403950763,0.0026984837300811255,0.0064100168151330315,8.288524485734653e-05
STT,0.00020578867028658846,0.0014755019774455947,963.0195121951219,0.0013674136168303392,0.0444023176829709,0.014072144964337998,0.0018561240980635352
COL,0.00019482194159053758,0.0014258714910757048,601.219512195122,0.0012516529097857721,0.011205440342595472,0.007851664889556093,0.001411456937397394
BAS,0.0002349547646254254,0.0010331031908684713,567.5057803468208,0.0012770854959416101,0.007988682686283114,0.008818710545847673,0.0027282539711209084
HEF,9.539055419720941e-05,0.0015731019271100755,88.81422018348624,0.0014275789065994642,0.03644340571481724,0.010688227732329152,0.018231293719473
BUR,0.00013147134450717084,0.0010795775208849285,1926.3434343434344,0.0013948600487329733,0.017080685698185948,0.011530846739611219,0.00041576034971050935
CMN,0.00010815301525462638,0.0016809881063366062,80.19957805907173,0.0017321129726515627,0.030810917580180723,0.006996812536244445,0.02820871437836836
CHA,0.00018262297225439856,0.0011690167411622123,675.326164874552,0.001304261207713831,0.03216689845856283,0.00983011516000917,0.003589769477690885
BAI,0.00016917584320756118,0.0013970172750147189,1705.0727272727272,0.0012361369676710608,0.01049564918820405,0.01490007219775268,0.00027428120763545156
WLN,0.000218339606840255,0.0011158001753902344,429.4859813084112,0.001409519420331514,0.02514730556590922,0.009895276778562972,0.0018697509178525194
HMF,0.00039230340911508934,0.0007442995770466592,5458.178571428572,0.0011816970838211727,0.001948795668311469,0.009588589220822768,1.0014851930955868e-05
SOS,0.00014955896792170434,0.0007149443483528983,4351.738095238095,0.0014016282956341272,0.01119887165207328,0.008412368844835313,0.00015361883408839056
CAY,7.052583680247095e-05,0.0011934501891715835,656.0685920577617,0.001411569933787209,0.03615741416107162,0.007380683295757346,0.0016954973292727011
NMD,4.3497248196559625e-05,0.002155681574669095,108.0077288941736,0.0018911778711819623,0.06796822412466734,0.01047076790575362,0.015560123689160656
TFW,0.0001906540208862028,0.0013489736464539523,625.248275862069,0.0012351545597139167,0.03546112927807869,0.008845015191360934,0.0014392933437890581
SHN,0.0003673885513915766,0.0009133876835844645,1331.5808823529412,0.0013196119729470136,0.055747299670496235,0.02521319398354052,0.0005979256687308435
NEW,4.392057856118977e-05,0.0019390966167462853,238.89494680851064,0.0014524280764487267,0.024088925165948613,0.0043896766083792345,0.0026945655695240606
CHL,0.00016366751879422401,0.0018333683878601341,529.6430678466077,0.0013838822041612154,0.011484725021352254,0.008124126793277116,0.001228310642589987
RFW,0.0001899979598640187,0.0011597280477634716,687.3180076628353,0.0013850590576409008,0.014443515929874863,0.013572876040182319,0.0018400678460616876
KTT,0.0001643916786979585,0.001145578268359846,4841.675675675676,0.001210178708744869,0.003209503834317889,0.009667396544896987,7.334142354819389e-05
HUN,0.00017206779062781913,0.0027600867592739685,197.55518763796908,0.001396528579224002,0.021439578708875858,0.006853179718552174,0.003068732685427877
BAN,0.00012622537425472537,0.0016108968869427782,280.37854889589903,0.0013912700789020787,0.011275566097695493,0.009500290242585767,0.0020110492820794297
WSK,0.00023028135213792777,0.001904922724071647,171.30628019323672,0.0013550590475360554,0.02195797423714732,0.035162478572004253,0.003000812924918819
THR,6.155959700070148e-05,0.001654220603241505,1070.310975609756,0.0011639353739469874,0.03574852104026314,0.015218060939287436,0.004241324308694353
BDF,0.00017997884396456535,0.001392031792549419,366.98949579831935,0.0013375694348383225,0.012440721108899887,0.01145908072516001,0.0017114807443604464
WOK,9.084091577894641e-05,0.0009366551217776525,971.7597765363129,0.0014304085756889978,0.0042448407103118,0.006963350770394743,0.00048729367204719353
MAI,0.00014547946259250478,0.0010409716299420453,440.5394402035623,0.0013258699681527296,0.014140130318089085,0.008304828200182825,0.0027408549751669997
